ABED, 2
ABET, 3
ABID, 2
ABLE, 0
ABLY, 1
ABOS, 2
ABRI, 2
ABUT, 3
ABYE, 2
ABYS, 3
ACED, 5
ACER, 2
ACES, 6
ACHE, 3
ACHY, 4
ACID, 3
ACME, 4
ACNE, 2
ACRE, 5
ACTS, 6
ACYL, 3
ADIT, 4
ADOS, 3
ADRY, 4
ADZE, 3
AEON, 3
AERO, 2
AERY, 3
AESC, 2
AFRO, 4
AGED, 3
AGEN, 4
AGER, 1
AGES, 5
AGIN, 4
AGIO, 4
AGLU, 3
AGLY, 4
AGON, 4
AGUE, 4
AHED, 3
AHEM, 2
AHIS, 3
AHOY, 5
AIDE, 2
AIDS, 3
AILS, 3
AIMS, 3
AINE, 2
AINS, 4
AIRN, 4
AIRS, 5
AIRT, 4
AIRY, 5
AITS, 6
AITU, 4
AKED, 7
AKES, 6
AKIN, 5
ALBE, 1
ALBS, 3
ALCO, 3
ALEC, 3
ALEF, 4
ALES, 2
ALEW, 5
ALFS, 3
ALIF, 4
ALIT, 4
ALKO, 4
ALKY, 5
ALME, 2
ALMS, 4
ALOD, 3
ALOE, 2
ALOW, 2
ALPS, 5
ALSO, 5
ALTO, 6
ALTS, 6
ALUM, 6
ALUS, 7
AMBO, 4
AMEN, 3
AMES, 4
AMID, 4
AMIE, 3
AMIN, 6
AMIR, 4
AMIS, 2
AMOK, 5
AMPS, 4
AMUS, 5
AMYL, 4
ANCE, 3
ANDS, 5
ANES, 4
ANEW, 3
ANIL, 4
ANIS, 4
ANKH, 4
ANOW, 3
ANTE, 3
ANTI, 4
ANTS, 5
ANUS, 5
APED, 5
APER, 3
APES, 6
APEX, 4
APOD, 4
APOS, 4
APSE, 4
APSO, 3
APTS, 5
ARBS, 3
ARCH, 3
ARCO, 3
ARCS, 4
ARDS, 4
ARED, 2
AREG, 2
ARES, 3
ARET, 4
AREW, 5
ARFS, 4
ARGH, 4
ARID, 3
ARIL, 3
ARIS, 5
ARKS, 5
ARLE, 2
ARMS, 6
ARMY, 4
AROW, 4
ARSE, 3
ARSY, 5
ARTI, 4
ARTS, 7
ARTY, 5
ARUM, 3
ARVO, 5
ARYL, 4
ASCI, 3
ASHY, 5
ATES, 7
ATOC, 5
ATOK, 6
ATOM, 4
ATOP, 7
AUFS, 5
AUKS, 6
AULD, 3
AUNE, 4
AUNT, 4
AUTO, 4
AVEL, 2
AVER, 4
AVES, 8
AVID, 5
AVOS, 5
AVOW, 4
AWDL, 3
AWED, 4
AWES, 5
AWFY, 3
AWKS, 5
AWLS, 4
AWNS, 4
AWNY, 4
AWOL, 3
AWRY, 4
AXED, 5
AXEL, 3
AXES, 6
AXIL, 5
AXIS, 6
AXLE, 3
AXON, 5
AYES, 9
AYIN, 7
AYRE, 4
AYUS, 6
AZON, 6
AZYM, 4
BACH, 3
BACK, 4
